trial_id	trialacronym	phase	recruitmentstatus	recruitmentstate	approvaldate	actualstartdate	drug_list	drug_classes	combo_list	combo_classes	secondaryid	studytitle	healthcondition	postcode	ext_weblink
NCT04784715	D967UC00001	Phase 3	Recruiting	QLD, NSW	5/03/2021	26/04/2021	Pertuzumab; Pertuzumab + Trastuzumab Deruxtecan; Placebo; Trastuzumab; Trastuzumab Deruxtecan	placebo; anti-ERBB2_antibody-drug_conjugate + anti-ERBB2_monoclonal_antibody,dimerization_inhibitor; anti-ERBB2_monoclonal_antibody; anti-ERBB2_monoclonal_antibody,dimerization_inhibitor; anti-ERBB2_antibody-drug_conjugate	Pertuzumab + Trastuzumab Deruxtecan; Pertuzumab + Trastuzumab Deruxtecan; Placebo	anti-ERBB2_antibody-drug_conjugate + anti-ERBB2_monoclonal_antibody,dimerization_inhibitor; anti-ERBB2_antibody-drug_conjugate + anti-ERBB2_monoclonal_antibody,dimerization_inhibitor; placebo	D967UC00001	Phase III Study of Trastuzumab Deruxtecan (T-DXd) With or Without Pertuzumab Versus Taxane, Trastuzumab and Pertuzumab in HER2-positive, First-line Metastatic Breast Cancer (DESTINY-Breast09)	Breast Cancer; Metastatic; HER2-positive	2109 - Macquarie University; 4066 - Auchenflower; 2065 - St Leonards	https://clinicaltrials.gov/ct2/show/NCT04784715
NCT04830202	C20-503		Available	WA	5/04/2021		Telisotuzumab Vedotin	anti-c-Met_antibody-drug_conjugate	Telisotuzumab Vedotin	anti-c-Met_antibody-drug_conjugate	C20-503	Expanded Access to Telisotuzumab Vedotin	Non-Small Cell Lung Cancer (NSCLC)	6005 - West Perth	https://clinicaltrials.gov/ct2/show/NCT04830202
NCT04875975	2019-004778-25--AIE001	Phase 2	Recruiting	VIC	6/05/2021	27/09/2021	Placebo	placebo	Placebo	placebo	2019-004778-25  AIE001	A Randomized, Double-Blind, Placebo-Controlled, Multicenter, Phase 2 Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Rozanolixizumab in Adult Study Participants With Leucine-Rich Glioma Inactivated 1 Autoimmune Encephalitis	Leucine-Rich Glioma Inactivated 1 Autoimmune Encephalitis	- Melbourne	https://clinicaltrials.gov/ct2/show/NCT04875975
NCT04876651	PROSTACT	Phase 3	Not yet recruiting	WA	6/05/2021		177Lu-DOTA-rosopatamab	177Lu-PSMA-radioconjugate	177Lu-DOTA-rosopatamab	177Lu-PSMA-radioconjugate	177Lu-TLX591-002	A Multinational, Multicenter, Prospective, Randomized, Controlled, Open Label Phase 3 Study With Best Standard of Care With and Without 177Lu-DOTA-rosopatamab for Patients With PSMA Expressing Metastatic Castration-resistant Prostate Cancer Progressing Despite Prior Treatment With a Novel Androgen Axis Drug	Metastatic Prostate Cancer	6009 - Perth; 6150 - Perth	https://clinicaltrials.gov/ct2/show/NCT04876651
NCT04985825	I-PACE	Phase 2	Recruiting	NSW, VIC, WA	2/08/2021	16/12/2021	Imgatuzumab	anti-EGFR_monoclonal_antibody	Imgatuzumab	anti-EGFR_monoclonal_antibody	2021-003262-12  PO-001	Phase 2 Study of Imgatuzumab in Patients With Advanced Cutaneous Squamous Cell Carcinoma (I-PACE)	Cutaneous Squamous Cell Carcinoma	6009 - Nedlands; 2298 - Waratah; 3000 - Melbourne	https://clinicaltrials.gov/ct2/show/NCT04985825
NCT05155254	KEYNOTE-D18	Phase 3	Recruiting	NSW	13/12/2021	21/12/2021	Pembrolizumab	anti-PD-1_monoclonal_antibody	Pembrolizumab	anti-PD-1_monoclonal_antibody	2021-004594-32  IO102-IO103-013 / KEYNOTE-D18	An Open-label, Randomized, Phase 3 Clinical Trial of IO102-IO103 in Combination With Pembrolizumab Versus Pembrolizumab Alone in Patients With Previously Untreated, Unresectable, or Metastatic (Advanced) Melanoma (IO102-IO103-013 / MK3475-D18)	Unresectable Melanoma; Metastatic Melanoma	2500 - Wollongong	https://clinicaltrials.gov/ct2/show/NCT05155254
NCT05309421	KEYNOTE-KN-D36--EVX-01-001	Phase 2	Not yet recruiting	WA, NSW	4/04/2022		EVX-01; EVX-01 + Pembrolizumab; Pembrolizumab	anti-PD-1_monoclonal_antibody + personalized_neoepitope_vaccine; personalized_neoepitope_vaccine; anti-PD-1_monoclonal_antibody	EVX-01 + Pembrolizumab; EVX-01 + Pembrolizumab	anti-PD-1_monoclonal_antibody + personalized_neoepitope_vaccine; anti-PD-1_monoclonal_antibody + personalized_neoepitope_vaccine	KEYNOTE KN-D36  EVX-01-001	An Open Label, Single Arm Trial Evaluating the Efficacy and Safety of EVX-01 in Combination With Pembrolizumab in Checkpoint Inhibitor Treatment naïve Adults With Unresectable or Metastatic Melanoma	Melanoma Stage IV; Melanoma Stage III	6009 - Nedlands; 2065 - Wollstonecraft	https://clinicaltrials.gov/ct2/show/NCT05309421
NCT05486143	VIKTORIA-1	Phase 3	Recruiting	WA, NSW, SA, TAS, VIC, QLD	3/08/2022		Alpelisib; Alpelisib + Fulvestrant; Fulvestrant; Fulvestrant + Gedatolisib; Fulvestrant + Gedatolisib + Palbociclib; Gedatolisib; Palbociclib	CDK4/6_inhibitor + pan-PI3K/MTORC1/MTORC2_inhibitor + selective_estrogen_receptor_degrader; PI3K_alpha_inhibitor + selective_estrogen_receptor_degrader; pan-PI3K/MTORC1/MTORC2_inhibitor + selective_estrogen_receptor_degrader; PI3K_alpha_inhibitor; pan-PI3K/MTORC1/MTORC2_inhibitor; selective_estrogen_receptor_degrader; CDK4/6_inhibitor	Alpelisib + Fulvestrant; Fulvestrant; Fulvestrant + Gedatolisib; Fulvestrant + Gedatolisib + Palbociclib; Alpelisib + Fulvestrant; Fulvestrant + Gedatolisib; Fulvestrant + Gedatolisib + Palbociclib	CDK4/6_inhibitor + pan-PI3K/MTORC1/MTORC2_inhibitor + selective_estrogen_receptor_degrader; PI3K_alpha_inhibitor + selective_estrogen_receptor_degrader; pan-PI3K/MTORC1/MTORC2_inhibitor + selective_estrogen_receptor_degrader; selective_estrogen_receptor_degrader; CDK4/6_inhibitor + pan-PI3K/MTORC1/MTORC2_inhibitor + selective_estrogen_receptor_degrader; PI3K_alpha_inhibitor + selective_estrogen_receptor_degrader; pan-PI3K/MTORC1/MTORC2_inhibitor + selective_estrogen_receptor_degrader	2021-005235-24  CELC-G-301	Phase 3, Open-Label, Randomized, Study Comparing Gedatolisib Combined With Fulvestrant & With or Without Palbociclib to Standard-of-Care Therapies in Patients With HR-Positive, HER2-Negative Advanced Breast Cancer Previously Treated With a CDK4/6 Inhibitor in Combination w/Non-Steroidal Aromatase Inhibitor Therapy	Breast Cancer	- Melbourne; - Wahroonga; - Nedlands; - Woodville; - Frankston; - Southport; - South Brisbane; - Adelaide	https://clinicaltrials.gov/ct2/show/NCT05486143
NCT05498428	PALOMA-2	Phase 2	Recruiting	WA, VIC	12/08/2022	11/11/2022	Amivantamab; Amivantamab + Carboplatin + Lazertinib + Osimertinib + Pemetrexed; Amivantamab + Carboplatin + Pemetrexed; Amivantamab + Lazertinib; Carboplatin; Lazertinib; Osimertinib; Pemetrexed	EGFR_inhibitor,third_generation + bispecific_c-Met_EGFR_monoclonal_antibody; antimetabolite; platinum-based_antineoplastic_agent; EGFR_inhibitor,third_generation; bispecific_c-Met_EGFR_monoclonal_antibody; antimetabolite + bispecific_c-Met_EGFR_monoclonal_antibody + platinum-based_antineoplastic_agent; EGFR_inhibitor,third_generation + antimetabolite + bispecific_c-Met_EGFR_monoclonal_antibody + platinum-based_antineoplastic_agent	Amivantamab + Carboplatin + Lazertinib + Osimertinib + Pemetrexed; Amivantamab + Carboplatin + Pemetrexed; Amivantamab + Lazertinib; Amivantamab + Carboplatin + Lazertinib + Osimertinib + Pemetrexed; Amivantamab + Carboplatin + Pemetrexed; Amivantamab + Lazertinib	EGFR_inhibitor,third_generation + antimetabolite + bispecific_c-Met_EGFR_monoclonal_antibody + platinum-based_antineoplastic_agent; EGFR_inhibitor,third_generation + bispecific_c-Met_EGFR_monoclonal_antibody; antimetabolite + bispecific_c-Met_EGFR_monoclonal_antibody + platinum-based_antineoplastic_agent; EGFR_inhibitor,third_generation + antimetabolite + bispecific_c-Met_EGFR_monoclonal_antibody + platinum-based_antineoplastic_agent; EGFR_inhibitor,third_generation + bispecific_c-Met_EGFR_monoclonal_antibody; antimetabolite + bispecific_c-Met_EGFR_monoclonal_antibody + platinum-based_antineoplastic_agent	2022-000526-21  CR109264	A Phase 2, Open-Label, Parallel Cohort Study of Subcutaneous Amivantamab in Multiple Regimens in Patients With Advanced or Metastatic Solid Tumors Including EGFR-mutated Non-Small Cell Lung Cancer	Carcinoma, Non-small-Cell Lung	6009 - Nedlands; VIC 3084 - Heidelberg	https://clinicaltrials.gov/ct2/show/NCT05498428
NCT05562830	MK-3475-04A--3475-04A	Phase 1/Phase 2	Recruiting	QLD	3/10/2022	16/11/2022	Pembrolizumab	anti-PD-1_monoclonal_antibody	Pembrolizumab	anti-PD-1_monoclonal_antibody	MK-3475-04A  3475-04A	A Phase 1/2 Open-Label Rolling-Arm Umbrella Platform Study of Investigational Agents With or Without Pembrolizumab in Participants With PD-1/L1 Refractory Locally Advanced or Metastatic Urothelial Carcinoma (KEYMAKER-U04): Substudy 04A	Urothelial Carcinoma	4029 - Brisbane	https://clinicaltrials.gov/ct2/show/NCT05562830
NCT05650203	JS009-002-I	Phase 1	Not yet recruiting	QLD, WA, NSW	14/12/2022		JS-006; JS-006 + JS-009 + Toripalimab; JS-009; Toripalimab	anti-CD112R_monoclonal_antibody; anti-TIGIT_monoclonal_antibody; anti-CD112R_monoclonal_antibody + anti-PD-1_monoclonal_antibody + anti-TIGIT_monoclonal_antibody; anti-PD-1_monoclonal_antibody	JS-006 + JS-009 + Toripalimab; JS-006 + JS-009 + Toripalimab	anti-CD112R_monoclonal_antibody + anti-PD-1_monoclonal_antibody + anti-TIGIT_monoclonal_antibody; anti-CD112R_monoclonal_antibody + anti-PD-1_monoclonal_antibody + anti-TIGIT_monoclonal_antibody	JS009-002-I	A Phase 1 Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of JS009 Monotherapy and JS009 as a Triple Combination Therapy in Combination With Toripalimab and JS006 in Patients With Advanced Malignancies	Primary Condition: Advanced Tumors	4101 - South Brisbane; 6009 - Perth; 2148 - Blacktown	https://clinicaltrials.gov/ct2/show/NCT05650203
NCT05805501	BO43936	Phase 2	Recruiting	SA, QLD	10/04/2023	21/04/2023	Axitinib; Axitinib + Pembrolizumab; Axitinib + RO7247669; Axitinib + RO7247669 + Tiragolumab; Pembrolizumab; RO7247669; Tiragolumab	KIT_inhibitor,ATP-competitive + bispecific_PD-1/LAG3_antibody; VEGFR/PDGFR_inhibitor + anti-PD-1_monoclonal_antibody; bispecific_PD-1/LAG3_antibody; anti-TIGIT_monoclonal_antibody; anti-PD-1_monoclonal_antibody; KIT_inhibitor,ATP-competitive; VEGFR/PDGFR_inhibitor + anti-TIGIT_monoclonal_antibody + bispecific_PD-1/LAG3_antibody; KIT_inhibitor,ATP-competitive + anti-PD-1_monoclonal_antibody; VEGFR/PDGFR_inhibitor + bispecific_PD-1/LAG3_antibody; KIT_inhibitor,ATP-competitive + anti-TIGIT_monoclonal_antibody + bispecific_PD-1/LAG3_antibody; VEGFR/PDGFR_inhibitor	Axitinib + Pembrolizumab; Axitinib + RO7247669; Axitinib + RO7247669 + Tiragolumab; Axitinib + Pembrolizumab; Axitinib + RO7247669; Axitinib + RO7247669 + Tiragolumab	KIT_inhibitor,ATP-competitive + anti-PD-1_monoclonal_antibody; KIT_inhibitor,ATP-competitive + anti-TIGIT_monoclonal_antibody + bispecific_PD-1/LAG3_antibody; KIT_inhibitor,ATP-competitive + bispecific_PD-1/LAG3_antibody; VEGFR/PDGFR_inhibitor + anti-PD-1_monoclonal_antibody; VEGFR/PDGFR_inhibitor + anti-TIGIT_monoclonal_antibody + bispecific_PD-1/LAG3_antibody; VEGFR/PDGFR_inhibitor + bispecific_PD-1/LAG3_antibody; KIT_inhibitor,ATP-competitive + anti-PD-1_monoclonal_antibody; KIT_inhibitor,ATP-competitive + anti-TIGIT_monoclonal_antibody + bispecific_PD-1/LAG3_antibody; KIT_inhibitor,ATP-competitive + bispecific_PD-1/LAG3_antibody; VEGFR/PDGFR_inhibitor + anti-PD-1_monoclonal_antibody; VEGFR/PDGFR_inhibitor + anti-TIGIT_monoclonal_antibody + bispecific_PD-1/LAG3_antibody; VEGFR/PDGFR_inhibitor + bispecific_PD-1/LAG3_antibody	BO43936	A Randomized Open Label Phase II Study of Immune Checkpoint Inhibitor Combinations With Axitinib in Patients With Previously Untreated Locally Advanced Unresectable or Metastatic Renal Cell Carcinoma	Renal Cell Carcinoma	4575 - Birtinya; 5037 - Kurralta Park	https://clinicaltrials.gov/ct2/show/NCT05805501
NCT05876754	ProvIDHe	Phase 3	Recruiting		17/05/2023	8/05/2023	Ivosidenib	IDH1_R132_inhibitor	Ivosidenib	IDH1_R132_inhibitor	2022-501463-40  DIM-95031-002	An Open-Label Early Access Phase 3b Study of Ivosidenib in Patients With a Pretreated Locally Advanced or Metastatic Cholangiocarcinoma	Cholangiocarcinoma		https://clinicaltrials.gov/ct2/show/NCT05876754
NCT02051868	InterAACT	Phase 2	Unknown status	NSW	30/01/2014	01/12/2013	Carboplatin; Carboplatin + Paclitaxel; Cisplatin; Cisplatin + Fluorouracil; Fluorouracil; Paclitaxel	platinum-based_antineoplastic_agent + taxane; antimetabolite + platinum-based_antineoplastic_agent; antimetabolite; platinum-based_antineoplastic_agent; taxane	Carboplatin + Paclitaxel; Cisplatin + Fluorouracil; Carboplatin + Paclitaxel; Cisplatin + Fluorouracil	antimetabolite + platinum-based_antineoplastic_agent; platinum-based_antineoplastic_agent + taxane; antimetabolite + platinum-based_antineoplastic_agent; platinum-based_antineoplastic_agent + taxane	2013-001949-13	An International Multicentre Open Label Randomised Phase II Advanced Anal Cancer Trial Comparing Cisplatin Plus 5 FU vs Carboplatin Plus Weekly Paclitaxel in Patients With Inoperable Locally Recurrent or Metastatic Disease	Squamous Cell Carcinoma of the Anus	NSW 1450 - Sydney - Margot Gorzeman - (Not yet recruiting)	https://clinicaltrials.gov/ct2/show/NCT02051868
NCT02135042	NRG-HN001	Phase 2/Phase 3	Recruiting	VIC	08/05/2014	01/04/2014	Cisplatin; Cisplatin + Fluorouracil; Fluorouracil; Gemcitabine; Gemcitabine + Paclitaxel; Paclitaxel; Radiotherapy	antimetabolite + platinum-based_antineoplastic_agent; antimetabolite; platinum-based_antineoplastic_agent; antimetabolite + taxane; gemcitabine; taxane; radiotherapy	Cisplatin + Fluorouracil; Gemcitabine + Paclitaxel; Cisplatin + Fluorouracil; Gemcitabine + Paclitaxel; Radiotherapy	antimetabolite + platinum-based_antineoplastic_agent; antimetabolite + taxane; antimetabolite + platinum-based_antineoplastic_agent; antimetabolite + taxane; gemcitabine; radiotherapy	NCI-2014-00635; NRG-HN001; NRG-HN001; U10CA180868; U10CA021661	Randomized Phase II and Phase III Studies of Individualized Treatment for Nasopharyngeal Carcinoma Based on Biomarker Epstein Barr Virus (EBV) Deoxyribonucleic Acid (DNA)	Epstein-Barr Virus Infection; Stage II Nasopharyngeal Carcinoma; Stage III Nasopharyngeal Carcinoma; Stage IVA Nasopharyngeal Carcinoma; Stage IVB Nasopharyngeal Carcinoma	3000 - Melbourne - Peter MacCallum Cancer Centre - (Active, not recruiting)	https://clinicaltrials.gov/ct2/show/NCT02135042
NCT02215447	NABNEC	Phase 2	Unknown status	VIC, NSW	11/08/2014		Carboplatin; Carboplatin + Nab-paclitaxel + Paclitaxel; Nab-paclitaxel; Paclitaxel	platinum-based_antineoplastic_agent + taxane; platinum-based_antineoplastic_agent; taxane	Carboplatin + Nab-paclitaxel + Paclitaxel; Carboplatin + Nab-paclitaxel + Paclitaxel	platinum-based_antineoplastic_agent + taxane; platinum-based_antineoplastic_agent + taxane		A Feasibility Study Of NAB-Paclitaxel In Combination With Carboplatin As First Line Treatment Of Gastrointestinal Neuroendocrine Carcinomas	Gastrointestinal Neuroendocrine Carcinomas	2065 - St Leonards - Royal North Shore Hospital; 3050 - Parkville - Royal Melbourne Hospital; 3220 - Geelong - Barwon Health	https://clinicaltrials.gov/ct2/show/NCT02215447
NCT02216487	Chime	Phase 2	Unknown status	NSW, VIC	12/08/2014	01/06/2014	Cetuximab; Cetuximab + Irinotecan; Irinotecan	topoisomerase_inhibitor; anti-EGFR_monoclonal_antibody + topoisomerase_inhibitor; anti-EGFR_monoclonal_antibody	Cetuximab + Irinotecan; Cetuximab + Irinotecan	anti-EGFR_monoclonal_antibody + topoisomerase_inhibitor; anti-EGFR_monoclonal_antibody + topoisomerase_inhibitor		Phase II Single Arm Trial of FOLF(HA)Iri Plus Cetuximab in Irinotecan-naïve Second Line Patients With KRAS Wild Type Metastatic Colorectal Cancer	Metastatic Colorectal Cancer	1871 - Sydney - Liverpool Hospital - (Not yet recruiting); 2500 - Wollongong - Southern Medical Day Care Centre - (Not yet recruiting); 3021 - Melbourne - Western General Hospital	https://clinicaltrials.gov/ct2/show/NCT02216487
NCT02254785	NCT02254785	Phase 2	Unknown status	VIC	01/10/2014	01/10/2014	Abiraterone; Abiraterone + Enzalutamide; Cabazitaxel; Enzalutamide	CYP17A1_inhibitor + antiandrogen,nonsteroidal,second_generation; CYP17A1_inhibitor; taxane; antiandrogen,nonsteroidal,second_generation	Abiraterone + Enzalutamide; Cabazitaxel; Abiraterone + Enzalutamide	CYP17A1_inhibitor + antiandrogen,nonsteroidal,second_generation; taxane; CYP17A1_inhibitor + antiandrogen,nonsteroidal,second_generation		A Phase II, Randomized, Multi-center Study of Cabazitaxel Versus Abiraterone or Enzalutamide in Poor Prognosis-metastatic Castration-resistant Prostate Cancer	Metastatic Castration-Resistant Prostatic Cancer	3000 - Melbourne - Peter MacCallum Cancer Centre; 3128 - Box Hill - Box Hill Hospital; 3168 - Clayton - Monash Health-Monash Medical Centre	https://clinicaltrials.gov/ct2/show/NCT02254785
NCT02264678	2014-002233-66	Phase 1/Phase 2	Recruiting	WA	10/10/2014		AZD5305; AZD5305 + Ceralasertib; Carboplatin; Carboplatin + Ceralasertib; Ceralasertib; Ceralasertib + Durvalumab; Ceralasertib + Durvalumab + Olaparib; Ceralasertib + Olaparib; Durvalumab; Olaparib	anti-PD-L1_monoclonal_antibody; ATR_inhibitor + anti-PD-L1_monoclonal_antibody; ATR_inhibitor + PARP_inhibitor + anti-PD-L1_monoclonal_antibody; platinum-based_antineoplastic_agent; ATR_inhibitor + PARP_inhibitor; ATR_inhibitor + platinum-based_antineoplastic_agent; ATR_inhibitor; PARP_inhibitor	AZD5305 + Ceralasertib; Carboplatin + Ceralasertib; Ceralasertib; Ceralasertib + Durvalumab; Ceralasertib + Durvalumab + Olaparib; Ceralasertib + Olaparib; AZD5305 + Ceralasertib; Carboplatin + Ceralasertib; Ceralasertib + Durvalumab; Ceralasertib + Durvalumab + Olaparib; Ceralasertib + Olaparib	ATR_inhibitor; ATR_inhibitor + PARP_inhibitor; ATR_inhibitor + PARP_inhibitor + anti-PD-L1_monoclonal_antibody; ATR_inhibitor + anti-PD-L1_monoclonal_antibody; ATR_inhibitor + platinum-based_antineoplastic_agent; ATR_inhibitor + PARP_inhibitor; ATR_inhibitor + PARP_inhibitor + anti-PD-L1_monoclonal_antibody; ATR_inhibitor + anti-PD-L1_monoclonal_antibody; ATR_inhibitor + platinum-based_antineoplastic_agent	2014-002233-66	A Modular Phase I, Open-Label, Multicentre Study to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Anti-tumour Activity of Ceralasertib in Combination With Cytotoxic Chemotherapy and/or DNA Damage Repair/Novel Anti-cancer Agents in Patients With Advanced Solid Malignancies.	Adv Solid Malig - H&amp;N SCC, ATM Pro / Def NSCLC, Gastric, Breast and Ovarian Cancer	6009 - Nedlands - Research Site - (Not yet recruiting)	https://clinicaltrials.gov/ct2/show/NCT02264678
NCT02408861	AMC-095	Phase 1	Recruiting	NSW	03/04/2015		Ipilimumab; Ipilimumab + Nivolumab; Nivolumab	anti-CTLA-4_monoclonal_antibody; anti-PD-1_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody + anti-PD-1_monoclonal_antibody	Ipilimumab + Nivolumab; Ipilimumab + Nivolumab	anti-CTLA-4_monoclonal_antibody + anti-PD-1_monoclonal_antibody; anti-CTLA-4_monoclonal_antibody + anti-PD-1_monoclonal_antibody	NCI-2015-00461; PAMC-095_R03PAPP01; AMC-095; AMC-095; AMC-095; U01CA121947; UM1CA121947	A Phase I Study of Ipilimumab and Nivolumab in Advanced HIV Associated Solid Tumors With an Expansion Cohort in HIV Associated Solid Tumors and a Cohort of HIV-Associated Classical Hodgkin Lymphoma	Advanced Malignant Solid Neoplasm; Anal Carcinoma; HIV Infection; Kaposi Sarcoma; Lung Carcinoma; Metastatic Malignant Solid Neoplasm; Recurrent Classic Hodgkin Lymphoma; Refractory Classic Hodgkin Lymphoma; Unresectable Solid Neoplasm	2010 - Darlinghurst - Saint Vincent's Hospital - (Suspended); 2052 - Sydney - University of New South Wales	https://clinicaltrials.gov/ct2/show/NCT02408861
NCT02503033	NCT02503033	Phase 1	Unknown status	QLD, Australian Capital Territory, ACT, VIC, NSW, SA, WA	16/07/2015		HMPL-523	Syk_inhibitor	HMPL-523	Syk_inhibitor		A Phase I, Open-label, Dose-escalation Study of the Safety and Pharmacokinetics of HMPL-523 in Patients With Relapsed or Refractory Hematologic Malignancies	Hematologic Malignancies	2640 - Albury - Border Medical Oncology Research Unit; 3144 - Melbourne - Cabrini Health; 3220 - Geelong - Barwon Health; 3350 - Ballarat - Ballarat Regional Integrated Cancer Centre; 4814 - Townsville - Townsville Hospital; 6000 - Perth - Royal Perth Hospital; Adelaide - Royal Adelaide Hospital; Canberra - Canberra Hospital; Fitzroy - St Vincent's Hospital; Frankston - Peninsula &amp; South Eastern Haematology and Oncology Group; Heidelberg - Austin Hospital; Liverpool - Liverpool Hospital	https://clinicaltrials.gov/ct2/show/NCT02503033
NCT02513849	NCT02513849	Phase 1	Unknown status		30/07/2015	01/12/2015	Tamoxifen	selective_estrogen_receptor_modulator	Tamoxifen	selective_estrogen_receptor_modulator	163909	A Pilot Study of Tamoxifen in Oesophageal Cancer	Cancer; Gastrointestinal Neoplasms		https://clinicaltrials.gov/ct2/show/NCT02513849
NCT02576431	NAVIGATE	Phase 2	Recruiting	NSW, WA, NT	13/10/2015		Larotrectinib	TRK_inhibitor,first_generation	Larotrectinib	TRK_inhibitor,first_generation	LOXO-TRK-15002; 2022-502667-38-00; 2015-003582-28	A Study to Learn How Well the Drug Larotrectinib Works in Adults With Different Solid Cancers With a Change in the Genes Called NTRK Fusion	Solid Tumors Harboring NTRK Fusion	0810 - Tiwi - Royal Darwin Hospital; 2109 - Macquarie University - Macquarie University Hospital; 6008 - Subiaco - St John of God Healthcare; 6009 - Nedlands - Sir Charles Gairdner Hospital - (Withdrawn)	https://clinicaltrials.gov/ct2/show/NCT02576431
NCT02582697	P3BEP	Phase 3	Recruiting	Palmerston North, QLD, NSW, SA, VIC, TAS, NZ, WA, Auckland	19/10/2015		Bleomycin; Cisplatin; Etoposide; Filgrastim; Pegfilgrastim	topoisomerase_inhibitor; antineoplastic_antibiotic; platinum-based_antineoplastic_agent; granulocyte_colony_stimulating_factor	Bleomycin; Cisplatin; Etoposide; Filgrastim; Pegfilgrastim	antineoplastic_antibiotic; granulocyte_colony_stimulating_factor; platinum-based_antineoplastic_agent; topoisomerase_inhibitor	ACTRN12613000496718	Phase 3 Accelerated BEP: A Randomised Phase 3 Trial of Accelerated Versus Standard BEP Chemotherapy for Patients With Intermediate and Poor-risk Metastatic Germ Cell Tumours	Germ Cell Tumor	1023 - Grafton - Starship Children's Hospital; 1142 - Grafton - Auckland Hospital; 2031 - Sydney - Prince of Wales Hospital; 2050 - Sydney - Chris O'Brien Lifehouse; 2065 - St Leonards - Royal North Shore Hospital; 2076 - Wahroonga - SAN Clinical Trials Unit; 2109 - Sydney - Macquarie Cancer Clinical Trials; 2139 - Sydney - Concord Repatriation General Hospital; 2145 - Sydney - Westmead Hospital - (Withdrawn); 2298 - Newcastle - Calvary Mater Newcastle; 2485 - Tweed Heads - Tweed Hospital; 2751 - Sydney - Nepean Hospital; 3002 - East Melbourne - Peter MacCallum Cancer Centre; 3021 - St Albans - Sunshine Hospital - (Withdrawn); 3084 - Heidelberg - Austin Health; 3128 - Box Hill - Box Hill Hospital; 3690 - Wodonga - Border Medical Oncology; 4029 - Brisbane - Royal Brisbane &amp; Women's Hospital; 4101 - South Brisbane - Queensland Children's Hospital; 4102 - Woolloongabba - Princess Alexandra; 4442 - Roslyn - Palmerston North Hospital; 5000 - Adelaide - Royal Adelaide Hospital; 5042 - Bedford Park - Flinders Medical Centre - (Active, not recruiting); 6847 - Murdoch - Fiona Stanley Hospital; 7000 - Hobart - Royal Hobart Hospital; 8011 - Christchurch - Christchurch Hospital; 9054 - Dunedin - Dunedin Hospital - (Withdrawn)	https://clinicaltrials.gov/ct2/show/NCT02582697
NCT02609776	CHRYSALIS	Phase 1	Recruiting	QLD, NSW, VIC, WA	18/11/2015		Amivantamab; Amivantamab + Carboplatin + Lazertinib + Pemetrexed; Amivantamab + Lazertinib; Carboplatin; Lazertinib; Pemetrexed	EGFR_inhibitor,third_generation + bispecific_c-Met_EGFR_monoclonal_antibody; antimetabolite; platinum-based_antineoplastic_agent; EGFR_inhibitor,third_generation; bispecific_c-Met_EGFR_monoclonal_antibody; EGFR_inhibitor,third_generation + antimetabolite + bispecific_c-Met_EGFR_monoclonal_antibody + platinum-based_antineoplastic_agent	Amivantamab + Carboplatin + Lazertinib + Pemetrexed; Amivantamab + Lazertinib; Amivantamab + Carboplatin + Lazertinib + Pemetrexed; Amivantamab + Lazertinib	EGFR_inhibitor,third_generation + antimetabolite + bispecific_c-Met_EGFR_monoclonal_antibody + platinum-based_antineoplastic_agent; EGFR_inhibitor,third_generation + bispecific_c-Met_EGFR_monoclonal_antibody; EGFR_inhibitor,third_generation + antimetabolite + bispecific_c-Met_EGFR_monoclonal_antibody + platinum-based_antineoplastic_agent; EGFR_inhibitor,third_generation + bispecific_c-Met_EGFR_monoclonal_antibody	61186372EDI1001; 2018-003908-38	A Phase 1, First-in-Human, Open-Label, Dose Escalation Study of JNJ-61186372, a Human Bispecific EGFR and cMet Antibody, in Subjects With Advanced Non-Small Cell Lung Cancer	Non-Small-Cell Lung Cancer	2050 - Camperdown - Chris O'Brien Lifehouse - (Active, not recruiting); 2217 - Kogarah - St George Hospital - (Active, not recruiting); 3084 - Heidelberg - Austin Hospital - (Active, not recruiting); 4102 - Woolloongabba - Princess Alexandra Hospital - (Completed); 6150 - Murdoch - St John of God Hospital Murdoch - (Completed)	https://clinicaltrials.gov/ct2/show/NCT02609776
