trial_id	trialacronym	phase	recruitmentstatus	recruitmentstate	approvaldate	actualstartdate	actualenddate	drug_list	drug_classes	combo_list	combo_classes	secondaryid	studytitle	healthcondition	postcode	ext_weblink
NCT03374488	KEYNOTE-698	Phase 3		NSW, SA, VIC	2017-12-15	2017-12-22		Epacadostat; Epacadostat + Pembrolizumab; Pembrolizumab; Placebo	placebo; IDO1_inhibitor; anti-PD-1_monoclonal_antibody; IDO1_inhibitor + anti-PD-1_monoclonal_antibody	Epacadostat + Pembrolizumab; Pembrolizumab; Placebo	IDO1_inhibitor + anti-PD-1_monoclonal_antibody; anti-PD-1_monoclonal_antibody; placebo	KEYNOTE-698/ECHO-303	A Phase 3 Randomized, Double-Blind Clinical Study of Pembrolizumab + Epacadostat vs Pembrolizumab + Placebo as a Treatment for Recurrent or Progressive Metastatic Urothelial Carcinoma in Patients Who Have Failed a First-Line Platinum-containing Chemotherapy Regimen for Advanced/Metastatic Disease (KEYNOTE-698/ECHO-303)	UC (Urothelial Cancer)	3084 - Heidelberg; 2500 - Wollongong; 2109 - Macquarie Park; 5037 - Kurralta Park	https://clinicaltrials.gov/ct2/show/NCT03374488
NCT03377491	EF-27	Phase 3		NSW, QLD, VIC, WA	2017-12-19	2018-02-10		Gemcitabine; Gemcitabine + Nab-paclitaxel; Nab-paclitaxel; Paclitaxel	antimetabolite; antimetabolite + taxane; taxane; gemcitabine	Gemcitabine + Nab-paclitaxel	antimetabolite + taxane; gemcitabine	EF-27	Pivotal, Randomized, Open-label Study of Tumor Treating Fields (TTFields, 150kHz) Concomitant With Gemcitabine and Nab-paclitaxel for Front-line Treatment of Locally-advanced Pancreatic Adenocarcinoma	Pancreas Adenocarcinoma	NSW 2076 - Wahroonga; VIC 3168 - Clayton; 6150 - Murdoch; 4120 - Greenslopes; NSW 2145 - Westmead	https://clinicaltrials.gov/ct2/show/NCT03377491
NCT03379259	2018-000265-37--BGB-900-101	Phase 1/Phase 2		NZ, VIC, WA	2017-12-20	2017-11-27		BGB-A333; BGB-A333 + Tislelizumab; Tislelizumab	anti-PD-1_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-PD-L1_monoclonal_antibody; anti-PD-1_monoclonal_antibody	BGB-A333; BGB-A333 + Tislelizumab	anti-PD-1_monoclonal_antibody + anti-PD-L1_monoclonal_antibody; anti-PD-L1_monoclonal_antibody	2018-000265-37  BGB-900-101	Phase 1-2 Study Investigating Safety, Tolerability, Pharmacokinetics and Preliminary Antitumor Activity of Anti-PD-L1 Monoclonal Antibody BGB-A333 Alone and in Combination With Anti-PD-1 Monoclonal Antibody Tislelizumab in Patients With Advanced Solid Tumors	Advanced Solid Tumors	6009 - Perth; 3004 - Melbourne; 3168 - Clayton	https://clinicaltrials.gov/ct2/show/NCT03379259
NCT03382340	IMX-110-001	Phase 1		NSW, QLD	2017-12-22	2018-02-15		IMX-110	nanoparticle_Stat3/NF-kB/poly-TKI; doxorubicin	IMX-110	doxorubicin; nanoparticle_Stat3/NF-kB/poly-TKI	IMX-110-001	A Phase 1/2a Open-Label, Dose-Escalation/Dose-Expansion Safety, Tolerability and Pharmacokinetic Study of IMX-110 in Patients With Advanced Solid Tumors	Solid Tumor, Adult; Breast Cancer; Ovarian Cancer; Advanced Solid Tumors; Pancreatic Cancer	QLD 4487 - Sydney	https://clinicaltrials.gov/ct2/show/NCT03382340
NCT03386721	2017-003182-94--BP40234	Phase 2		NZ	2017-12-29	2018-02-19		Atezolizumab; Atezolizumab + Docetaxel; Docetaxel; Docetaxel + Gemcitabine + Vinorelbine; Gemcitabine; RO-6874281; Vinorelbine	anti-PD-L1_monoclonal_antibody + taxane; antimetabolite; anti-PD-L1_monoclonal_antibody; taxane; gemcitabine; vinca_alkaloid; anti-FAP/IL-2_fusion_protein; antimetabolite + taxane + vinca_alkaloid	Atezolizumab; Atezolizumab + Docetaxel; Docetaxel; Docetaxel + Gemcitabine + Vinorelbine; RO-6874281	anti-PD-L1_monoclonal_antibody; anti-PD-L1_monoclonal_antibody + taxane; antimetabolite + taxane + vinca_alkaloid; taxane; anti-FAP/IL-2_fusion_protein; gemcitabine	2017-003182-94  BP40234	An Open-Label, Multicenter, Phase II Study to Evaluate the Therapeutic Activity of Simlukafusp Alfa (RO6874281), an Immunocytokine, Consisting of Interleukin-2 Variant (IL-2v) Targeting Fibroblast Activation Protein-? (FAP), in Combination With Atezolizumab (Anti-PD-L1), Administered Intravenously, in Participants With Advanced and/or Metastatic Solid Tumors	Advanced/Metastatic Head and Neck, Oesophageal and Cervical Cancers	Auckland	https://clinicaltrials.gov/ct2/show/NCT03386721
NCT03390504	THOR	Phase 3		NSW, VIC, WA	2018-01-04	2018-03-23		Docetaxel; Docetaxel + Vinflunine; Erdafitinib; Pembrolizumab; Vinflunine	taxane + vinca_alkaloid; anti-PD-1_monoclonal_antibody; taxane; vinca_alkaloid; pan-FGFR_inhibitor,reversible; pan-FGFR_inhibitor	Docetaxel + Vinflunine; Erdafitinib; Pembrolizumab	anti-PD-1_monoclonal_antibody; pan-FGFR_inhibitor; pan-FGFR_inhibitor,reversible; taxane + vinca_alkaloid	42756493BLC3001  CR108401	A Phase 3 Study of Erdafitinib Compared With Vinflunine or Docetaxel or Pembrolizumab in Subjects With Advanced Urothelial Cancer and Selected FGFR Gene Aberrations	Urothelial Cancer	3000 - Melbourne; 2050 - Camperdown; 6150 - Murdoch; 2217 - Kogarah; 3199 - Melbourne; 3199 - Frankston	https://clinicaltrials.gov/ct2/show/NCT03390504
NCT03392428	TheraP	Phase 2		NSW, QLD, SA, VIC, WA	2018-01-08	2018-01-29		Cabazitaxel; Lu-177 vipivotide tetraxetan	radioconjugate,PSMA-targeting; taxane	Cabazitaxel; Lu-177 vipivotide tetraxetan	radioconjugate,PSMA-targeting; taxane	ANZUP 1603	TheraP: A Randomised Phase 2 Trial of 177Lu-PSMA617 Theranostic Versus Cabazitaxel in Progressive Metastatic Castration Resistant Prostate Cancer (ANZUP Protocol 1603)	Metastatic Cancer; Cancer of the Prostate	2170 - Liverpool; 2065 - Sydney; 5000 - Adelaide; 2010 - Sydney; 3008 - Melbourne; 2298 - Waratah; 3084 - Melbourne; 4029 - Brisbane; 6009 - Nedlands; 6450 - Murdoch; 3165 - Moorabbin	https://clinicaltrials.gov/ct2/show/NCT03392428
NCT03400332	2023-509061-20--CA027-002	Phase 1		NSW, SA, VIC, WA	2018-01-17	2018-02-12		BMS-986253; BMS-986253 + Ipilimumab + Nivolumab; BMS-986253 + Nivolumab; Ipilimumab; Ipilimumab + Nivolumab; Nivolumab; Placebo	placebo; anti-IL8_monoclonal_antibody; anti-PD-1_monoclonal_antibody; anti-CTLA4_monoclonal_antibody + anti-IL8_monoclonal_antibody + anti-PD-1_monoclonal_antibody; anti-CTLA4_monoclonal_antibody + anti-PD-1_monoclonal_antibody; anti-IL8_monoclonal_antibody + anti-PD-1_monoclonal_antibody; anti-CTLA4_monoclonal_antibody	BMS-986253 + Ipilimumab + Nivolumab; BMS-986253 + Nivolumab; Ipilimumab + Nivolumab; Placebo	anti-CTLA4_monoclonal_antibody + anti-IL8_monoclonal_antibody + anti-PD-1_monoclonal_antibody; anti-CTLA4_monoclonal_antibody + anti-PD-1_monoclonal_antibody; anti-IL8_monoclonal_antibody + anti-PD-1_monoclonal_antibody; placebo	2023-509061-20  CA027-002	A Phase 1/2 Study of BMS-986253 in Combination With Nivolumab or Nivolumab Plus Ipilimumab in Advanced Cancers	Melanoma; Cancer	3000 - Melbourne; VIC 3350 - Ballarat Central; 5000 - Adelaide; 3004 - Melbourne; 6009 - Perth; 2065 - Wollstonecraft	https://clinicaltrials.gov/ct2/show/NCT03400332
NCT03410693	FORT-1	Phase 2/Phase 3		NSW, QLD, VIC	2018-01-25	2018-05-31		Rogaratinib	pan-FGFR_inhibitor; FGFR1/2/3_inhibitor,reversible	Rogaratinib	FGFR1/2/3_inhibitor,reversible; pan-FGFR_inhibitor	2016-004340-11  17403	A Randomized, Open Label, Multicenter Phase 2/3 Study to Evaluate the Efficacy and Safety of Rogaratinib (BAY1163877) Compared to Chemotherapy in Patients With FGFR-positive Locally Advanced or Metastatic Urothelial Carcinoma Who Have Received Prior Platinum-containing Chemotherapy	Carcinoma, Transitional Cell	2650 - Wagga Wagga; 2109 - Sydney; 2076 - Wahroonga; 3168 - Clayton; 2065 - St Leonards; 2450 - Coffs Harbour; 4217 - Benowa	https://clinicaltrials.gov/ct2/show/NCT03410693
NCT03411473	C-500-03	Phase 2		NSW, NZ, QLD	2018-01-26	2017-10-04		Pembrolizumab; Pembrolizumab + Zalifrelimab; Zalifrelimab	anti-CTLA4_monoclonal_antibody + anti-PD-1_monoclonal_antibody; anti-PD-1_monoclonal_antibody; anti-CTLA4_monoclonal_antibody	Pembrolizumab + Zalifrelimab	anti-CTLA4_monoclonal_antibody + anti-PD-1_monoclonal_antibody	C-500-03	A Phase IIa Open-Label Trial of AGEN1884 in Combination With Pembrolizumab in Subjects With Chemotherapy Naïve, PD-L1 High, Metastatic Non-Small Cell Lung Cancer (NSCLC)	NSCLC Stage IV	- Wahroonga; - Brisbane; Auckland; - Sydney; - Tugun	https://clinicaltrials.gov/ct2/show/NCT03411473
NCT03412799	CL-SBP-101-03	Phase 1		NSW, QLD, SA, VIC	2018-01-26	2018-06-04		Gemcitabine; Ivospemin; Nab-paclitaxel	antimetabolite; polyamine_analogue; taxane; gemcitabine	Gemcitabine; Ivospemin; Nab-paclitaxel	antimetabolite; polyamine_analogue; taxane; gemcitabine	CL-SBP-101-03	Phase 1A/1B Dose Escalation and Expansion Study of SBP-101 in Combination With Nab-Paclitaxel and Gemcitabine in Subjects With Previously Untreated Metastatic Pancreatic Ductal Adenocarcinoma	Pancreatic Cancer Metastatic; Stage IV Pancreatic Cancer; Pancreatic Cancer Stage IV	5037 - Kurralta Park; 3084 - Heidelberg; 2148 - Blacktown; 4224 - Tugun	https://clinicaltrials.gov/ct2/show/NCT03412799
NCT03414047	I4D-MC-JTJN--16712	Phase 2		NSW, QLD, SA, VIC	2018-01-29	2018-04-10		Prexasertib	CHEK1_inhibitor	Prexasertib	CHEK1_inhibitor	I4D-MC-JTJN  16712	A Phase 2 Study of Prexasertib in Platinum-Resistant or Refractory Recurrent Ovarian Cancer	Ovarian Cancer	5065 - Toorak Gardens; 2145 - Wentworthville; 4101 - South Brisbane; 5042 - Bedford Park; 2139 - Concord; 3000 - Melbourne; 4029 - Herston; 2031 - Randwick	https://clinicaltrials.gov/ct2/show/NCT03414047
NCT03417037	2017-003058-18--CA017-062	Phase 3		NSW, QLD, VIC, WA	2018-01-31			Linrodostat; Linrodostat + Nivolumab; Nivolumab	IDO1_inhibitor; anti-PD-1_monoclonal_antibody; IDO1_inhibitor + anti-PD-1_monoclonal_antibody	Linrodostat + Nivolumab	IDO1_inhibitor + anti-PD-1_monoclonal_antibody	2017-003058-18  CA017-062	A Phase 3 Open Label, Randomized Study of BMS-986205 Combined With Nivolumab With or Without Chemotherapy Versus Chemotherapy in Participants With Previously Untreated Stage IV or Recurrent Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer; Lung Cancer	4102 - Brisbane; 2010 - Darlinghurst; 6150 - Murdoch; 2340 - North Tamworth; 3004 - Melbourne	https://clinicaltrials.gov/ct2/show/NCT03417037
NCT03419403	2017-003171-64--M16-534	Phase 3		NSW, QLD, VIC	2018-02-05	2018-07-30		Depatuxizumab Mafodotin; Temozolomide	alkylating_agent; anti-EGFR/PBD_antibody-drug_conjugate	Depatuxizumab Mafodotin; Temozolomide	anti-EGFR/PBD_antibody-drug_conjugate; alkylating_agent	2017-003171-64  M16-534	Phase 3b Study for Management of Ocular Side Effects in Subjects With EGFR-amplified Glioblastoma Receiving Depatuxizumab Mafodotin (ABT-414)	Glioblastoma Multiforme	4029 - Herston; 2065 - Saint Leonards; 3084 - Heidelberg; 2298 - Waratah	https://clinicaltrials.gov/ct2/show/NCT03419403
NCT03424005	Morpheus-panBC	Phase 1		VIC, WA	2018-02-06	2018-03-30		Abemaciclib; Abemaciclib + Fulvestrant + Inavolisib; Abemaciclib + Inavolisib + Letrozole; Atezolizumab; Atezolizumab + Bevacizumab + Selicrelumab; Atezolizumab + Carboplatin + Eribulin + Gemcitabine; Atezolizumab + Ipatasertib; Atezolizumab + Ladiratuzumab Vedotin; Atezolizumab + Nab-paclitaxel; Atezolizumab + Nab-paclitaxel + Tocilizumab; Atezolizumab + Sacituzumab Govitecan; Bevacizumab; Capecitabine; Carboplatin; Eribulin; Fulvestrant; Fulvestrant + Inavolisib + Ribociclib; Gemcitabine; Inavolisib; Inavolisib + Letrozole + Ribociclib; Inavolisib + Trastuzumab Deruxtecan; Ipatasertib; Ladiratuzumab Vedotin; Letrozole; Nab-paclitaxel; Ribociclib; Sacituzumab Govitecan; Selicrelumab; Tocilizumab; Trastuzumab Deruxtecan	anti-Trop2_antibody-drug_conjugate; antimetabolite; anti-PD-L1_monoclonal_antibody; CDK4/6_inhibitor + PI3K_alpha_inhibitor + aromatase_inhibitor; selective_estrogen_receptor_degrader; anti-VEGF_monoclonal_antibody; anti-CD40_agonistic_antibody + anti-PD-L1_monoclonal_antibody + anti-VEGF_monoclonal_antibody; macrocyclic_ketone_analogue; PI3K_alpha_inhibitor; platinum-based_antineoplastic_agent; anti-PD-L1_monoclonal_antibody + pan-AKT_inhibitor; CDK4/6_inhibitor + PI3K_alpha_inhibitor + selective_estrogen_receptor_degrader; anti-LIV1_antibody-drug_conjugate + anti-PD-L1_monoclonal_antibody; CDK4/6_inhibitor; fluoropyrimidine; anti-IL-6_monoclonal_antibody + anti-PD-L1_monoclonal_antibody + taxane; gemcitabine; PI3K_alpha_inhibitor + anti-ERBB2_antibody-drug_conjugate; pan-AKT_inhibitor; anti-ERBB2_antibody-drug_conjugate; anti-PD-L1_monoclonal_antibody + taxane; aromatase_inhibitor; taxane; anti-PD-L1_monoclonal_antibody + antimetabolite + macrocyclic_ketone_analogue + platinum-based_antineoplastic_agent; anti-IL-6_monoclonal_antibody; anti-LIV1_antibody-drug_conjugate; anti-CD40_agonistic_antibody; anti-PD-L1_monoclonal_antibody + anti-Trop2_antibody-drug_conjugate	Abemaciclib + Fulvestrant + Inavolisib; Abemaciclib + Inavolisib + Letrozole; Atezolizumab + Bevacizumab + Selicrelumab; Atezolizumab + Carboplatin + Eribulin + Gemcitabine; Atezolizumab + Ipatasertib; Atezolizumab + Ladiratuzumab Vedotin; Atezolizumab + Nab-paclitaxel; Atezolizumab + Nab-paclitaxel + Tocilizumab; Atezolizumab + Sacituzumab Govitecan; Capecitabine; Fulvestrant + Inavolisib + Ribociclib; Inavolisib + Letrozole + Ribociclib; Inavolisib + Trastuzumab Deruxtecan	CDK4/6_inhibitor + PI3K_alpha_inhibitor + aromatase_inhibitor; CDK4/6_inhibitor + PI3K_alpha_inhibitor + selective_estrogen_receptor_degrader; PI3K_alpha_inhibitor + anti-ERBB2_antibody-drug_conjugate; anti-CD40_agonistic_antibody + anti-PD-L1_monoclonal_antibody + anti-VEGF_monoclonal_antibody; anti-IL-6_monoclonal_antibody + anti-PD-L1_monoclonal_antibody + taxane; anti-LIV1_antibody-drug_conjugate + anti-PD-L1_monoclonal_antibody; anti-PD-L1_monoclonal_antibody + anti-Trop2_antibody-drug_conjugate; anti-PD-L1_monoclonal_antibody + antimetabolite + macrocyclic_ketone_analogue + platinum-based_antineoplastic_agent; anti-PD-L1_monoclonal_antibody + pan-AKT_inhibitor; anti-PD-L1_monoclonal_antibody + taxane; fluoropyrimidine; gemcitabine	2017-002038-21  CO40115	A Phase Ib/II, Open-Label, Multicenter, Randomized Umbrella Study Evaluating The Efficacy And Safety Of Multiple Treatment Combinations In Patients With Metastatic Breast Cancer (Morpheus-panBC)	Metastatic Breast Cancer	6150 - Murdoch; 3000 - Melbourne	https://clinicaltrials.gov/ct2/show/NCT03424005
NCT03428217	CANTATA	Phase 2		NSW, NZ, QLD, VIC, WA	2018-02-09	2018-05-14		Cabozantinib; Cabozantinib + Telaglenastat; Placebo; Telaglenastat	glutaminase_inhibitor; ROS1_inhibitor + glutaminase_inhibitor; RET_inhibitor; ROS1_inhibitor; AXL_inhibitor; RET_inhibitor + glutaminase_inhibitor; MET_inhibitor,type_2 + glutaminase_inhibitor; KIT_inhibitor; placebo; VEGFR2_inhibitor; KIT_inhibitor + glutaminase_inhibitor; AXL/MET/RET/VEGFR/ROS1/KIT_inhibitor; VEGFR2_inhibitor + glutaminase_inhibitor; AXL/MET/RET/VEGFR/ROS1/KIT_inhibitor + glutaminase_inhibitor; MET_inhibitor,type_2; AXL_inhibitor + glutaminase_inhibitor	Cabozantinib; Cabozantinib + Telaglenastat; Placebo	AXL/MET/RET/VEGFR/ROS1/KIT_inhibitor; AXL/MET/RET/VEGFR/ROS1/KIT_inhibitor + glutaminase_inhibitor; AXL_inhibitor; AXL_inhibitor + glutaminase_inhibitor; KIT_inhibitor; KIT_inhibitor + glutaminase_inhibitor; MET_inhibitor,type_2; MET_inhibitor,type_2 + glutaminase_inhibitor; RET_inhibitor; RET_inhibitor + glutaminase_inhibitor; ROS1_inhibitor; ROS1_inhibitor + glutaminase_inhibitor; VEGFR2_inhibitor; VEGFR2_inhibitor + glutaminase_inhibitor; placebo	CX-839-008	A Randomized, Double-Blind, Placebo-Controlled Phase 2 Clinical Trial Comparing CB-839 in Combination With Cabozantinib (CB-Cabo) vs. Placebo With Cabozantinib (Pbo-Cabo) in Patients With Advanced or Metastatic Renal Cell Carcinoma (RCC)	Advanced Renal Cell Carcinoma; Metastatic Renal Cell Carcinoma	3199 - Frankston; 4102 - Woolloongabba; 3630 - Shepparton; 4101 - South Brisbane; 3144 - Malvern; 4217 - Benowa; Hamilton; 6009 - Nedlands; Wellington; 2170 - Sydney; 4870 - Cairns; 2050 - Camperdown; 2109 - North Ryde; 3350 - Ballarat; 2576 - Bowral; 2485 - Tweed Heads	https://clinicaltrials.gov/ct2/show/NCT03428217
NCT03434379	IMbrave150	Phase 3		NSW, SA, VIC	2018-02-15	2018-03-15		Atezolizumab; Atezolizumab + Bevacizumab; Bevacizumab; Sorafenib	VEGFR_inhibitor; CRAF_inhibitor; anti-PD-L1_monoclonal_antibody; CRAF/FLT3/KIT/PDGFR/VEGFR_inhibitor; anti-PD-L1_monoclonal_antibody + anti-VEGF_monoclonal_antibody; FLT3_inhibitor; anti-VEGF_monoclonal_antibody; PDGFR_inhibitor; KIT_inhibitor	Atezolizumab + Bevacizumab; Sorafenib	CRAF/FLT3/KIT/PDGFR/VEGFR_inhibitor; CRAF_inhibitor; FLT3_inhibitor; KIT_inhibitor; PDGFR_inhibitor; VEGFR_inhibitor; anti-PD-L1_monoclonal_antibody + anti-VEGF_monoclonal_antibody	2017-003691-31  YO40245	A Phase III, Open-Label, Randomized Study of Atezolizumab in Combination With Bevacizumab Compared With Sorafenib in Patients With Untreated Locally Advanced or Metastatic Hepatocellular Carcinoma	Carcinoma, Hepatocellular	2217 - Kogarah; 2200 - Bankstown; 5011 - Woodville; 3021 - St Albans	https://clinicaltrials.gov/ct2/show/NCT03434379
NCT03441113	2017-004350-42--219627	Phase 2		QLD, SA, VIC, WA	2018-02-22	2018-05-03		Momelotinib	JAK1/JAK2_inhibitor; JAK2_inhibitor	Momelotinib	JAK1/JAK2_inhibitor	2017-004350-42  219627	Extended Access of Momelotinib for Subjects With Primary Myelofibrosis (PMF) or Post-polycythemia Vera or Post-essential Thrombocythemia Myelofibrosis (Post-PV/ET MF)	Post-polycythemia Vera Myelofibrosis (Post-PV MF); Neoplasms; Post-essential Thrombocythemia Myelofibrosis (Post-ET MF); Primary Myelofibrosis (PMF)	3050 - Parkville; 4812 - Hyde Park; 4101 - South Brisbane; 31 99 - Frankston; 3199 - Frankston; 3004 - Melbourne; 5000 - Adelaide; 6160 - Perth; 6000 - Perth	https://clinicaltrials.gov/ct2/show/NCT03441113
NCT03443674	CLO-SCB-313-001	Phase 1		NSW, QLD, SA	2018-02-23	2018-06-18		SCB-313	recombinant_human_TRAIL_trimer_fusion_protein	SCB-313	recombinant_human_TRAIL_trimer_fusion_protein	CLO-SCB-313-001	A Phase I Study Evaluating Safety, Tolerability, and Pharmacokinetics of SCB-313, a Fully-Human TRAIL-Trimer Fusion Protein, for the Treatment of Peritoneal Malignancies	Peritoneal Malignancies	2500 - Wollongong; 2170 - Liverpool; 5042 - Bedford Park; 4224 - Tugun; 2800 - Orange	https://clinicaltrials.gov/ct2/show/NCT03443674
NCT03445533	ILLUMINATE-301	Phase 3		QLD, SA, VIC, WA	2018-02-26	2018-05-30		Ipilimumab; Ipilimumab + Tilsotolimod Sodium; Tilsotolimod Sodium	TLR9_agonist; TLR9_agonist + anti-CTLA4_monoclonal_antibody; anti-CTLA4_monoclonal_antibody	Ipilimumab; Ipilimumab + Tilsotolimod Sodium	TLR9_agonist + anti-CTLA4_monoclonal_antibody; anti-CTLA4_monoclonal_antibody	2125-MEL-301	A Randomized Phase 3 Comparison of IMO-2125 With Ipilimumab Versus Ipilimumab Alone in Subjects With Anti-PD-1 Refractory Melanoma (ILLUMINATE-301)	Metastatic Melanoma	4120 - Greenslopes; 5011 - Woodville South; 4215 - Southport; 6150 - Murdoch; 4101 - South Brisbane; 3220 - Geelong	https://clinicaltrials.gov/ct2/show/NCT03445533
NCT03450330	JACKPOT1	Phase 1/Phase 2		NSW, VIC	2018-03-01	2018-04-16		AZD4205; Osimertinib	JAK1-selective_inhibitor; EGFR_inhibitor,third_generation	AZD4205; Osimertinib	JAK1-selective_inhibitor; EGFR_inhibitor,third_generation	DZ2017J0001	A Phase I/II, Open-Label, Multicentre Study to Investigate the Safety, Tolerability, Pharmacokinetics and Anti-tumour Activity of AZD4205 as Monotherapy or in Combination With Osimertinib in Patients With EGFR Mutant Advanced Stage Non-Small Cell Lung Cancer (NSCLC)	Nonsmall Cell Lung Cancer	- Melbourne; 2066 - Sydney; 3084 - Heidelberg; - Sydney	https://clinicaltrials.gov/ct2/show/NCT03450330
NCT03452137	IMvoke010	Phase 3		NSW, SA, VIC, WA	2018-03-02	2018-04-03		Atezolizumab; Placebo	placebo; anti-PD-L1_monoclonal_antibody	Atezolizumab; Placebo	anti-PD-L1_monoclonal_antibody; placebo	2017-003302-40  WO40242	A Phase III, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of Atezolizumab (Anti-PD-L1 Antibody) as Adjuvant Therapy After Definitive Local Therapy in Patients With High-Risk Locally Advanced Squamous Cell Carcinoma of the Head and Neck	Locally Advanced Squamous Cell Carcinoma of the Head and Neck (SCCHN)	2217 - Kogarah; 6009 - Nedlands; 3051 - North Melbourne; 5037 - Kurralta Park	https://clinicaltrials.gov/ct2/show/NCT03452137
NCT03468426	2017-001378-41--1336-0011	Phase 1		NSW, VIC	2018-03-16	2018-07-05		BI836880; BI836880 + Ezabenlimab; Ezabenlimab	VEGF/Ang2-blocking_nanobody + anti-PD-1_monoclonal_antibody; VEGF/Ang2-blocking_nanobody; anti-PD-1_monoclonal_antibody	BI836880 + Ezabenlimab	VEGF/Ang2-blocking_nanobody + anti-PD-1_monoclonal_antibody	2017-001378-41  1336-0011	An Open Label Phase Ib Dose Finding Study of BI 836880 in Combination With Ezabenlimab to Characterize Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Efficacy in Patients With Locally Advanced or Metastatic Non-squamous Non-Small Cell Lung Cancer and in Other Solid Tumors	Neoplasms; Non-squamous, Non-Small-Cell Lung Cancer	2145 - Westmead; 3004 - Melbourne; 3199 - Frankston; 2065 - St Leonards	https://clinicaltrials.gov/ct2/show/NCT03468426
NCT03484520	2017-003213-26--M16-183	Phase 1		QLD, TAS, VIC	2018-03-30	2018-07-23		Dinaciclib; Dinaciclib + Venetoclax; Venetoclax	Bcl2_inhibitor + CDK12_inhibitor; Bcl2_inhibitor; Bcl2_inhibitor + CDK1/2/5/9_inhibitor; CDK12_inhibitor; CDK1/2/5/9_inhibitor	Dinaciclib + Venetoclax	Bcl2_inhibitor + CDK1/2/5/9_inhibitor; Bcl2_inhibitor + CDK12_inhibitor	2017-003213-26  M16-183	Phase 1b Study of Venetoclax and Dinaciclib (MK7965) in Patients With Relapsed/Refractory Acute Myeloid Leukemia	Cancer - Acute Myeloid Leukemia	4215 - SouthPort; 3168 - Melbourne; 7000 - Hobart	https://clinicaltrials.gov/ct2/show/NCT03484520
NCT03484923	PLATforM	Phase 2		NSW	2018-04-02	2018-09-10		Capmatinib; Capmatinib + Spartalizumab; Ieramilimab; Ieramilimab + Spartalizumab; Ribociclib; Ribociclib + Spartalizumab; Spartalizumab	anti-LAG3_monoclonal_antibody; CDK4/6_inhibitor + anti-PD-1_monoclonal_antibody; anti-LAG3_monoclonal_antibody + anti-PD-1_monoclonal_antibody; CDK4/6_inhibitor; anti-PD-1_monoclonal_antibody; MET_inhibitor,type_1 + anti-PD-1_monoclonal_antibody; MET_inhibitor,type_1	Capmatinib + Spartalizumab; Ieramilimab + Spartalizumab; Ribociclib + Spartalizumab; Spartalizumab	CDK4/6_inhibitor + anti-PD-1_monoclonal_antibody; MET_inhibitor,type_1 + anti-PD-1_monoclonal_antibody; anti-LAG3_monoclonal_antibody + anti-PD-1_monoclonal_antibody; anti-PD-1_monoclonal_antibody	2018-000610-38  CPDR001J2201	A Randomized, Open-label, Phase II Open Platform Study Evaluating the Efficacy and Safety of Novel Spartalizumab (PDR001) Combinations in Previously Treated Unresectable or Metastatic Melanoma	Melanoma	2060 - North Sydney; 2145 - Westmead	https://clinicaltrials.gov/ct2/show/NCT03484923
NCT03486873	MK-3475-587--3475-587	Phase 3		NSW, NZ, QLD, SA, VIC, WA	2018-04-03	2018-08-21		Favezelimab; Favezelimab + Pembrolizumab; Lenvatinib; Lenvatinib + Pembrolizumab; Olaparib; Pembrolizumab	anti-LAG3_monoclonal_antibody; anti-LAG3_monoclonal_antibody + anti-PD-1_monoclonal_antibody; anti-PD-1_monoclonal_antibody; VEGF_inhibitor + anti-PD-1_monoclonal_antibody; VEGF_inhibitor; PARP_inhibitor	Favezelimab + Pembrolizumab; Lenvatinib + Pembrolizumab; Olaparib; Pembrolizumab	PARP_inhibitor; VEGF_inhibitor + anti-PD-1_monoclonal_antibody; anti-LAG3_monoclonal_antibody + anti-PD-1_monoclonal_antibody; anti-PD-1_monoclonal_antibody	MK-3475-587  3475-587	A Multicenter, Open-label, Phase 3 Study to Evaluate the Long-term Safety and Efficacy in Participants Who Are Currently on Treatment or in Follow-up in Studies That Include Pembrolizumab	Solid Tumors; Hematologic Malignancies	2444 - Port Macquarie; 3021 - St Albans; 4101 - Brisbane; 2170 - Liverpool; 4215 - Southport; 5000 - Adelaide; 3084 - Heidelberg; 4120 - Brisbane; 4029 - Herston; 3000 - Melbourne; 2050 - Camperdown; 3168 - Clayton; 4814 - Townsville; 2065 - St Leonards; 5011 - Woodville; 3355 - Wendouree; 4102 - Woolloongabba; 2298 - Waratah; 6008 - Subiaco; Wellington; 3065 - Melbourne; Canterbury; 2065 - Wollstonecraft; 6009 - Nedlands; Auckland; 2145 - Westmead; Waikato; 2060 - North Sydney; 2109 - Macquarie University; 2800 - Orange	https://clinicaltrials.gov/ct2/show/NCT03486873
